,AdjD,AdjDRk,AdjEM,AdjO,AdjORk,AdjT,AdjTRk,Conf,Luck,LuckRk,NCSOS,NCSOSRk,OppD,OppDRk,OppO,OppORk,Rk,SOS,SOSRk,Sd,Team,W-L
1,87.4,4,+29.18,116.5,5,67.7,132,SEC,+.051,53,+6.77,33,97.4,16,108.6,3,1,+11.20,4,1,Kentucky,32-4
2,86.4,3,+28.62,115.0,12,72.2,14,B12,-.017,208,+6.08,35,96.8,9,108.7,2,2,+11.84,2,2,Kansas,30-8
3,86.2,2,+28.61,114.8,14,64.7,266,BE,-.023,224,-8.24,310,98.4,49,105.5,66,3,+7.07,56,2,Pittsburgh,28-5
4,88.8,8,+26.80,115.6,10,72.7,11,P10,-.007,181,+8.19,26,98.5,53,107.2,14,4,+8.69,31,1,Arizona,28-4
5,88.7,7,+24.47,113.2,22,67.8,127,B10,-.029,242,-4.18,257,98.5,54,105.8,59,5,+7.29,52,4,Illinois,25-7
6,91.3,15,+23.75,115.0,13,70.7,40,ACC,-.030,246,+0.64,138,98.3,43,107.1,17,6,+8.85,27,3,Duke,26-7
7,95.8,58,+23.49,119.3,3,69.4,67,B12,-.009,188,+2.16,104,96.8,7,107.1,16,7,+10.36,9,1,Texas,26-7
8,91.1,14,+23.28,114.4,17,71.0,32,BE,+.083,16,-3.63,242,96.3,4,106.6,34,8,+10.32,10,3,Syracuse,30-5
9,89.1,10,+23.01,112.1,25,62.7,299,B12,+.034,84,-2.32,214,97.7,26,106.7,31,9,+9.01,24,1,Oklahoma,27-7
10,93.0,25,+22.75,115.8,9,72.5,12,CUSA,-.029,241,+5.99,39,98.4,50,105.3,69,10,+6.82,61,4,Louisville,25-7
11,94.4,36,+22.14,116.5,6,65.0,256,SEC,+.008,140,-0.89,174,97.7,24,106.0,55,11,+8.30,36,2,Florida,25-8
12,92.4,21,+22.07,114.4,16,61.9,310,B10,-.024,228,-1.01,179,99.6,79,106.1,51,12,+6.46,64,5,Wisconsin,24-8
13,88.9,9,+22.00,110.9,34,71.5,23,ACC,-.078,301,-5.28,282,98.4,47,106.6,35,13,+8.23,38,6,Maryland,21-10
14,85.8,1,+21.53,107.4,79,64.8,263,SEC,-.060,290,-2.62,218,98.0,36,106.9,24,14,+8.85,28,5,Mississippi St.,21-10
15,99.2,109,+21.30,120.5,2,65.7,219,CUSA,+.070,30,-1.46,188,98.0,35,106.0,54,15,+7.94,42,3,Marquette,27-6
16,99.9,124,+20.93,120.9,1,67.1,159,SEC,+.012,136,+10.85,15,96.0,2,108.7,1,16,+12.71,1,,Georgia,19-8
17,88.3,6,+20.75,109.0,58,64.1,281,A10,-.049,279,+5.80,43,100.4,94,105.0,74,17,+4.61,88,7,Saint Joseph's,23-7
18,96.2,60,+20.31,116.5,7,69.2,74,BE,+.009,139,+3.78,65,96.3,5,107.3,11,18,+11.00,6,5,Notre Dame,24-10
19,89.9,12,+20.26,110.1,43,63.6,286,B10,-.050,280,+3.19,83,97.2,14,107.3,12,19,+10.11,13,7,Michigan St.,22-13
20,94.0,29,+19.88,113.8,19,67.7,131,A10,+.018,120,+4.84,56,100.2,89,105.0,76,20,+4.80,86,3,Xavier,26-6
21,94.6,37,+19.87,114.5,15,67.7,130,ACC,+.073,25,-3.80,249,98.0,37,105.9,58,21,+7.83,44,2,Wake Forest,25-6
22,92.0,17,+19.54,111.6,26,71.2,29,BE,+.005,152,-3.47,236,98.6,57,107.3,10,22,+8.75,29,5,Connecticut,23-10
23,92.8,24,+18.15,111.0,33,67.5,140,SEC,-.035,262,-8.36,311,98.6,56,104.8,80,23,+6.27,67,8,LSU,21-11
24,91.7,16,+17.68,109.4,52,65.5,234,MWC,-.031,247,+5.20,52,101.9,130,107.4,9,24,+5.49,74,12,BYU,23-9
25,88.2,5,+17.67,105.9,100,66.7,177,B12,+.003,157,-1.14,183,97.2,13,106.3,44,25,+9.08,22,6,Oklahoma St.,22-10
26,94.9,40,+17.54,112.4,24,68.4,103,MVC,+.026,99,-0.51,164,102.7,168,102.5,159,26,-0.19,155,6,Creighton,29-5
27,89.6,11,+17.42,107.0,87,69.3,71,B10,-.012,194,+4.87,55,98.0,38,107.6,6,27,+9.53,17,9,Purdue,19-11
28,94.2,34,+17.32,111.5,27,66.9,173,B12,+.043,68,+2.97,87,96.0,1,107.1,18,28,+11.14,5,6,Missouri,22-11
29,94.1,33,+16.72,110.9,35,68.3,109,CUSA,+.005,151,+3.33,81,98.5,55,103.4,134,29,+4.84,84,7,Memphis,23-7
30,97.4,78,+16.49,113.9,18,66.9,169,P10,-.014,201,+5.44,50,97.7,25,106.4,41,30,+8.74,30,10,Arizona St.,20-12
31,99.3,110,+16.09,115.4,11,58.6,325,Horz,+.073,24,+1.83,112,100.4,95,104.5,93,31,+4.10,91,12,Butler,27-6
32,93.4,26,+15.89,109.3,53,66.2,197,B12,-.027,233,-2.11,206,97.9,33,106.9,26,32,+8.92,26,,Texas Tech,21-13
33,97.7,82,+15.58,113.2,21,66.9,170,WCC,-.021,220,+5.83,42,100.0,87,103.9,116,33,+3.93,93,9,Gonzaga,24-9
34,93.8,28,+15.27,109.1,56,69.9,56,B12,+.001,162,+0.22,151,97.9,30,106.9,23,34,+9.02,23,10,Colorado,20-12
35,92.2,19,+14.91,107.1,86,70.7,38,BE,-.101,317,-10.72,317,97.6,21,105.6,63,35,+7.95,41,,Georgetown,19-15
36,90.3,13,+14.69,105.0,116,66.4,188,CUSA,-.069,297,+3.74,67,99.3,67,106.6,33,36,+7.35,50,8,Cincinnati,17-12
37,94.9,43,+14.62,109.5,49,64.1,279,CAA,-.031,248,-0.81,173,101.7,127,99.3,252,37,-2.47,209,11,UNC Wilmington,24-7
38,95.7,54,+14.60,110.3,39,65.3,243,SEC,-.015,205,+2.31,102,97.1,11,106.6,32,38,+9.55,16,10,Alabama,17-12
39,95.2,49,+14.57,109.8,46,65.6,226,P10,+.066,35,+3.76,66,98.9,65,106.2,47,39,+7.26,53,4,Stanford,24-9
40,101.9,161,+14.53,116.4,8,64.4,270,A10,+.084,14,+5.54,47,99.5,75,104.4,99,40,+4.93,83,4,Dayton,24-6
41,98.9,102,+14.48,113.4,20,63.7,284,B10,+.050,57,+9.29,20,96.8,8,107.3,13,41,+10.49,8,7,Indiana,21-13
42,97.1,73,+14.25,111.4,29,71.2,28,P10,+.032,87,-4.41,262,99.8,85,105.0,72,42,+5.24,75,8,Oregon,23-10
43,94.8,39,+14.23,109.1,57,69.0,80,ACC,-.092,310,-1.56,191,97.5,19,106.8,28,43,+9.23,20,,Georgia Tech,16-15
44,92.6,23,+14.04,106.6,91,62.1,308,MWC,+.069,32,+1.55,117,101.6,120,106.8,27,44,+5.23,76,9,Utah,25-8
45,94.1,32,+13.85,108.0,69,67.0,166,BE,-.051,282,+1.44,121,98.2,41,106.1,49,45,+7.91,43,,Providence,18-14
46,94.1,31,+13.63,107.7,74,66.6,181,SEC,+.051,52,-4.71,267,97.8,27,106.0,53,46,+8.22,39,10,Auburn,22-12
47,96.3,63,+13.59,109.9,45,65.9,208,P10,+.061,42,+0.30,147,99.6,81,106.7,30,47,+7.06,57,8,California,22-9
48,96.9,68,+13.35,110.3,41,63.3,290,Ivy,+.035,82,+3.49,71,102.0,134,100.4,221,48,-1.53,182,11,Penn,22-6
49,104.4,203,+13.30,117.7,4,68.2,112,BE,+.034,85,+2.55,93,97.6,22,106.1,48,49,+8.51,33,,Boston College,19-12
50,98.1,88,+13.18,111.2,30,65.0,257,ACC,-.023,223,-6.47,292,98.4,48,106.9,22,50,+8.48,34,9,North Carolina St.,18-13
51,94.9,41,+13.04,107.9,70,67.4,150,WAC,-.061,291,+4.16,62,101.7,125,102.7,154,51,+1.05,139,13,Tulsa,23-10
52,96.0,59,+12.97,109.0,60,71.2,31,Horz,+.025,101,+1.05,130,102.8,172,104.9,79,52,+2.06,121,12,Milwaukee,23-8
53,92.3,20,+12.26,104.6,122,65.7,223,BE,+.022,111,-0.57,167,97.1,12,106.4,43,53,+9.26,19,,Seton Hall,17-13
54,95.8,57,+12.15,107.9,72,68.3,110,ACC,+.024,104,+7.32,28,96.2,3,107.4,7,54,+11.23,3,,North Carolina,19-16
55,98.6,96,+11.76,110.3,40,67.8,125,MVC,+.063,39,+3.35,79,101.5,119,103.5,129,55,+1.97,124,11,Southern Illinois,24-7
56,96.3,61,+11.75,108.0,65,67.2,156,SB,+.035,78,+2.09,107,102.0,136,103.1,143,56,+1.09,138,13,Western Kentucky,24-9
57,95.4,51,+11.17,106.6,93,68.8,86,BE,-.059,289,+7.22,29,97.5,20,107.0,20,57,+9.49,18,,Villanova,15-16
58,97.0,71,+10.99,108.0,66,64.7,268,SEC,+.026,98,-4.46,263,97.8,29,106.4,42,58,+8.54,32,,Tennessee,17-12
59,100.3,130,+10.89,111.2,31,62.8,298,SEC,-.099,313,-7.96,306,96.7,6,103.9,117,59,+7.19,54,,Mississippi,14-15
60,97.0,70,+10.87,107.9,73,65.7,222,B12,-.154,327,-4.60,266,97.7,23,104.6,90,60,+6.95,59,,Kansas St.,13-17
61,98.3,91,+10.71,109.0,59,65.1,252,B10,+.024,107,+1.27,126,98.8,59,106.1,50,61,+7.33,51,,Michigan,17-13
62,99.9,123,+10.64,110.5,38,68.4,106,Horz,+.024,105,-0.93,176,102.5,160,103.6,125,62,+1.02,140,,Illinois Chicago,21-9
63,99.0,105,+10.60,109.6,48,64.4,272,Horz,-.089,309,+0.83,133,102.6,162,103.8,121,63,+1.19,134,,Detroit,18-12
64,95.7,53,+10.59,106.3,98,66.3,192,B12,-.045,276,-11.54,320,98.3,45,104.5,97,64,+6.18,69,,Iowa St.,16-14
65,97.4,76,+10.52,107.9,71,69.8,60,SB,-.014,202,+5.63,46,100.6,97,103.4,132,65,+2.75,112,,Louisiana Lafayette,19-10
66,95.1,45,+10.40,105.5,107,65.1,250,Pat,+.065,37,-0.64,170,104.6,253,99.0,257,66,-5.57,260,14,Holy Cross,25-5
67,95.3,50,+10.06,105.4,109,67.0,165,BE,+.035,77,-0.51,163,99.5,76,106.3,45,67,+6.76,62,,St. John's,21-13
68,95.4,52,+10.04,105.5,106,68.1,117,MAAC,+.014,125,+2.51,94,103.4,203,101.7,182,68,-1.71,184,14,Manhattan,23-7
69,95.1,47,+10.04,105.1,115,65.8,214,CUSA,-.004,173,+1.93,110,98.6,58,105.1,70,69,+6.51,63,,DePaul,16-13
70,99.4,113,+10.01,109.5,51,71.7,20,MAC,+.137,3,+2.87,89,102.3,152,104.3,104,70,+2.06,122,11,Central Michigan,25-7
